production_date,source_primal,planned_primal_kg,actual_primal_kg,status,shortfall_reason,data_source
2025-01-02,6X6 Frenched,24.04,24.7,completed,,synthetic
2025-01-02,Blade Eyes,335.79,344.56,completed,,synthetic
2025-01-02,Bone-in Ribeye,39.92,37.16,completed,,synthetic
2025-01-02,Brisket,41.96,43.33,completed,,synthetic
2025-01-02,Chuck Flat,152.22,151.46,completed,,synthetic
2025-01-02,Chuck Primal,290.73,278.95,completed,,synthetic
2025-01-02,Flank,33.43,32.96,completed,,synthetic
2025-01-02,Plate,25.47,25.72,completed,,synthetic
2025-01-02,Pork Belly,198.13,197.01,completed,,synthetic
2025-01-02,Pork Loin,125.87,127.29,completed,,synthetic
2025-01-02,Pork Shoulder,49.53,49.07,completed,,synthetic
2025-01-02,Round,116.4,116.94,completed,,synthetic
2025-01-02,Shank,16.78,17.44,completed,,synthetic
2025-01-02,Striploin Whole,114.31,116.05,completed,,synthetic
2025-01-02,Tenderloin,9.26,9.53,completed,,synthetic
2025-01-02,Top Sirloin Butt,53.07,52.01,completed,,synthetic
2025-01-02,Wagyu Flat Iron,21.48,20.8,completed,,synthetic
2025-01-03,6X6 Frenched,30.05,28.92,completed,,synthetic
2025-01-03,Blade Eyes,425.29,448.05,completed,,synthetic
2025-01-03,Bone-in Ribeye,53.23,44.02,partial,quality_hold,synthetic
2025-01-03,Brisket,57.69,35.98,partial,labor_short,synthetic
2025-01-03,Chuck Flat,179.4,177.85,completed,,synthetic
2025-01-03,Chuck Primal,358.57,359.41,completed,,synthetic
2025-01-03,Flank,44.58,20.83,partial,equipment,synthetic
2025-01-03,Plate,35.66,34.58,completed,,synthetic
2025-01-03,Pork Belly,247.66,179.45,partial,labor_short,synthetic
2025-01-03,Pork Loin,157.34,163.77,completed,,synthetic
2025-01-03,Pork Shoulder,69.35,69.56,completed,,synthetic
2025-01-03,Round,137.45,150.01,completed,,synthetic
2025-01-03,Shank,24.13,24.02,completed,,synthetic
2025-01-03,Striploin Whole,142.88,142.18,completed,,synthetic
2025-01-03,Tenderloin,15.05,14.58,completed,,synthetic
2025-01-03,Top Sirloin Butt,74.3,74.28,completed,,synthetic
2025-01-03,Wagyu Flat Iron,30.08,29.14,completed,,synthetic
2025-01-04,6X6 Frenched,36.06,35.89,completed,,synthetic
2025-01-04,Blade Eyes,514.78,507.8,completed,,synthetic
2025-01-04,Bone-in Ribeye,66.54,65.22,completed,,synthetic
2025-01-04,Brisket,73.42,57.8,partial,equipment,synthetic
2025-01-04,Chuck Flat,206.59,205.61,completed,,synthetic
2025-01-04,Chuck Primal,426.41,431.6,completed,,synthetic
2025-01-04,Flank,55.72,56.34,completed,,synthetic
2025-01-04,Plate,45.85,47.08,completed,,synthetic
2025-01-04,Pork Belly,297.19,286.95,completed,,synthetic
2025-01-04,Pork Loin,188.81,191.72,completed,,synthetic
2025-01-04,Pork Shoulder,89.16,87.77,completed,,synthetic
2025-01-04,Round,158.5,125.41,partial,equipment,synthetic
2025-01-04,Shank,31.47,32.13,completed,,synthetic
2025-01-04,Striploin Whole,171.46,174.48,completed,,synthetic
2025-01-04,Tenderloin,20.84,15.27,partial,quality_hold,synthetic
2025-01-04,Top Sirloin Butt,95.53,92.11,completed,,synthetic
2025-01-04,Wagyu Flat Iron,38.67,38.64,completed,,synthetic
2025-01-05,6X6 Frenched,30.05,30.42,completed,,synthetic
2025-01-05,Blade Eyes,425.29,437.63,completed,,synthetic
2025-01-05,Bone-in Ribeye,53.23,53.17,completed,,synthetic
2025-01-05,Brisket,57.69,59.64,completed,,synthetic
2025-01-05,Chuck Flat,179.4,182.88,completed,,synthetic
2025-01-05,Chuck Primal,358.57,374.15,completed,,synthetic
2025-01-05,Flank,44.58,43.21,completed,,synthetic
2025-01-05,Plate,35.66,33.9,completed,,synthetic
2025-01-05,Pork Belly,247.66,240.99,completed,,synthetic
2025-01-05,Pork Loin,157.34,152.87,completed,,synthetic
2025-01-05,Pork Shoulder,69.35,51.63,partial,quality_hold,synthetic
2025-01-05,Round,137.45,133.14,completed,,synthetic
2025-01-05,Shank,24.13,24.39,completed,,synthetic
2025-01-05,Striploin Whole,142.88,149.94,completed,,synthetic
2025-01-05,Tenderloin,15.05,15.3,completed,,synthetic
2025-01-05,Top Sirloin Butt,74.3,76.95,completed,,synthetic
2025-01-05,Wagyu Flat Iron,30.08,29.74,completed,,synthetic
2025-01-06,6X6 Frenched,24.04,25.56,completed,,synthetic
2025-01-06,Blade Eyes,335.79,327.42,completed,,synthetic
2025-01-06,Bone-in Ribeye,39.92,39.98,completed,,synthetic
2025-01-06,Brisket,41.96,41.67,completed,,synthetic
2025-01-06,Chuck Flat,152.22,151.01,completed,,synthetic
2025-01-06,Chuck Primal,290.73,281.61,completed,,synthetic
2025-01-06,Flank,33.43,32.1,completed,,synthetic
2025-01-06,Plate,25.47,24.49,completed,,synthetic
2025-01-06,Pork Belly,198.13,200.35,completed,,synthetic
2025-01-06,Pork Loin,125.87,121.68,completed,,synthetic
2025-01-06,Pork Shoulder,49.53,49.1,completed,,synthetic
2025-01-06,Round,116.4,110.42,completed,,synthetic
2025-01-06,Shank,16.78,16.32,completed,,synthetic
2025-01-06,Striploin Whole,114.31,119.36,completed,,synthetic
2025-01-06,Tenderloin,9.26,9.34,completed,,synthetic
2025-01-06,Top Sirloin Butt,53.07,52.32,completed,,synthetic
2025-01-06,Wagyu Flat Iron,21.48,21.62,completed,,synthetic
2025-01-07,6X6 Frenched,24.04,24.65,completed,,synthetic
2025-01-07,Blade Eyes,335.79,336.29,completed,,synthetic
2025-01-07,Bone-in Ribeye,39.92,41.03,completed,,synthetic
2025-01-07,Brisket,41.96,42.95,completed,,synthetic
2025-01-07,Chuck Flat,152.22,148.54,completed,,synthetic
2025-01-07,Chuck Primal,290.73,294.57,completed,,synthetic
2025-01-07,Flank,33.43,34.33,completed,,synthetic
2025-01-07,Plate,25.47,25.97,completed,,synthetic
2025-01-07,Pork Belly,198.13,196.01,completed,,synthetic
2025-01-07,Pork Loin,125.87,128.13,completed,,synthetic
2025-01-07,Pork Shoulder,49.53,49.41,completed,,synthetic
2025-01-07,Round,116.4,119.02,completed,,synthetic
2025-01-07,Shank,16.78,16.36,completed,,synthetic
2025-01-07,Striploin Whole,114.31,116.84,completed,,synthetic
2025-01-07,Tenderloin,9.26,8.93,completed,,synthetic
2025-01-07,Top Sirloin Butt,53.07,54.04,completed,,synthetic
2025-01-07,Wagyu Flat Iron,21.48,21.66,completed,,synthetic
2025-01-08,6X6 Frenched,24.04,22.13,completed,,synthetic
2025-01-08,Blade Eyes,335.79,334.27,completed,,synthetic
2025-01-08,Bone-in Ribeye,39.92,40.39,completed,,synthetic
2025-01-08,Brisket,41.96,41.35,completed,,synthetic
2025-01-08,Chuck Flat,152.22,146.88,completed,,synthetic
2025-01-08,Chuck Primal,290.73,291.68,completed,,synthetic
2025-01-08,Flank,33.43,33.68,completed,,synthetic
2025-01-08,Plate,25.47,11.63,partial,labor_short,synthetic
2025-01-08,Pork Belly,198.13,193.89,completed,,synthetic
2025-01-08,Pork Loin,125.87,121.72,completed,,synthetic
2025-01-08,Pork Shoulder,49.53,51.63,completed,,synthetic
2025-01-08,Round,116.4,118.56,completed,,synthetic
2025-01-08,Shank,16.78,17.05,completed,,synthetic
2025-01-08,Striploin Whole,114.31,111.54,completed,,synthetic
2025-01-08,Tenderloin,9.26,9.67,completed,,synthetic
2025-01-08,Top Sirloin Butt,53.07,53.59,completed,,synthetic
2025-01-08,Wagyu Flat Iron,21.48,21.3,completed,,synthetic
2025-01-09,6X6 Frenched,24.04,23.2,completed,,synthetic
2025-01-09,Blade Eyes,335.79,339.51,completed,,synthetic
2025-01-09,Bone-in Ribeye,39.92,39.17,completed,,synthetic
2025-01-09,Brisket,41.96,43.75,completed,,synthetic
2025-01-09,Chuck Flat,152.22,148.2,completed,,synthetic
2025-01-09,Chuck Primal,290.73,224.75,partial,quality_hold,synthetic
2025-01-09,Flank,33.43,34.71,completed,,synthetic
2025-01-09,Plate,25.47,26.98,completed,,synthetic
2025-01-09,Pork Belly,198.13,201.84,completed,,synthetic
2025-01-09,Pork Loin,125.87,123.01,completed,,synthetic
2025-01-09,Pork Shoulder,49.53,47.92,completed,,synthetic
2025-01-09,Round,116.4,112.16,completed,,synthetic
2025-01-09,Shank,16.78,16.78,completed,,synthetic
2025-01-09,Striploin Whole,114.31,113.78,completed,,synthetic
2025-01-09,Tenderloin,9.26,9.04,completed,,synthetic
2025-01-09,Top Sirloin Butt,53.07,54.53,completed,,synthetic
2025-01-09,Wagyu Flat Iron,21.48,22.43,completed,,synthetic
2025-01-10,6X6 Frenched,30.05,30.27,completed,,synthetic
2025-01-10,Blade Eyes,425.29,412.3,completed,,synthetic
2025-01-10,Bone-in Ribeye,53.23,52.51,completed,,synthetic
2025-01-10,Brisket,57.69,34.08,partial,equipment,synthetic
2025-01-10,Chuck Flat,179.4,173.96,completed,,synthetic
2025-01-10,Chuck Primal,358.57,240.5,partial,labor_short,synthetic
2025-01-10,Flank,44.58,32.13,partial,equipment,synthetic
2025-01-10,Plate,35.66,36.59,completed,,synthetic
2025-01-10,Pork Belly,247.66,246.45,completed,,synthetic
2025-01-10,Pork Loin,157.34,166.12,completed,,synthetic
2025-01-10,Pork Shoulder,69.35,67.5,completed,,synthetic
2025-01-10,Round,137.45,131.92,completed,,synthetic
2025-01-10,Shank,24.13,25.26,completed,,synthetic
2025-01-10,Striploin Whole,142.88,79.86,partial,quality_hold,synthetic
2025-01-10,Tenderloin,15.05,15.54,completed,,synthetic
2025-01-10,Top Sirloin Butt,74.3,74.44,completed,,synthetic
2025-01-10,Wagyu Flat Iron,30.08,30.39,completed,,synthetic
2025-01-11,6X6 Frenched,36.06,35.46,completed,,synthetic
2025-01-11,Blade Eyes,514.78,526.15,completed,,synthetic
2025-01-11,Bone-in Ribeye,66.54,65.7,completed,,synthetic
2025-01-11,Brisket,73.42,75.64,completed,,synthetic
2025-01-11,Chuck Flat,206.59,206.95,completed,,synthetic
2025-01-11,Chuck Primal,426.41,416.61,completed,,synthetic
2025-01-11,Flank,55.72,55.25,completed,,synthetic
2025-01-11,Plate,45.85,45.13,completed,,synthetic
2025-01-11,Pork Belly,297.19,299.92,completed,,synthetic
2025-01-11,Pork Loin,188.81,194.39,completed,,synthetic
2025-01-11,Pork Shoulder,89.16,42.28,partial,labor_short,synthetic
2025-01-11,Round,158.5,161.26,completed,,synthetic
2025-01-11,Shank,31.47,30.36,completed,,synthetic
2025-01-11,Striploin Whole,171.46,168.9,completed,,synthetic
2025-01-11,Tenderloin,20.84,13.12,partial,quality_hold,synthetic
2025-01-11,Top Sirloin Butt,95.53,93.05,completed,,synthetic
2025-01-11,Wagyu Flat Iron,38.67,40.54,completed,,synthetic
2025-01-12,6X6 Frenched,30.05,30.79,completed,,synthetic
2025-01-12,Blade Eyes,425.29,440.85,completed,,synthetic
2025-01-12,Bone-in Ribeye,53.23,33.24,partial,labor_short,synthetic
2025-01-12,Brisket,57.69,54.97,completed,,synthetic
2025-01-12,Chuck Flat,179.4,193.24,completed,,synthetic
2025-01-12,Chuck Primal,358.57,237.4,partial,quality_hold,synthetic
2025-01-12,Flank,44.58,22.22,partial,equipment,synthetic
2025-01-12,Plate,35.66,37.02,completed,,synthetic
2025-01-12,Pork Belly,247.66,250.07,completed,,synthetic
2025-01-12,Pork Loin,157.34,158.21,completed,,synthetic
2025-01-12,Pork Shoulder,69.35,70.75,completed,,synthetic
2025-01-12,Round,137.45,146.88,completed,,synthetic
2025-01-12,Shank,24.13,22.23,completed,,synthetic
2025-01-12,Striploin Whole,142.88,139.63,completed,,synthetic
2025-01-12,Tenderloin,15.05,15.8,completed,,synthetic
2025-01-12,Top Sirloin Butt,74.3,77.03,completed,,synthetic
2025-01-12,Wagyu Flat Iron,30.08,29.31,completed,,synthetic
2025-01-13,6X6 Frenched,24.04,23.82,completed,,synthetic
2025-01-13,Blade Eyes,335.79,346.75,completed,,synthetic
2025-01-13,Bone-in Ribeye,39.92,37.57,completed,,synthetic
2025-01-13,Brisket,41.96,45.45,completed,,synthetic
2025-01-13,Chuck Flat,152.22,153.8,completed,,synthetic
2025-01-13,Chuck Primal,290.73,302.02,completed,,synthetic
2025-01-13,Flank,33.43,35.29,completed,,synthetic
