sku,sale_date,units_sold,revenue
chuck-roast,2025-01-02,36.72,862.55
striploin-steak-bnls,2025-01-02,39.09,1680.48
ribeye-steak-bnls,2025-01-02,14.53,726.35
short-ribs-simmering,2025-01-02,69.34,3119.61
top-sirloin-steak-cr,2025-01-02,17.53,595.84
flank-steak,2025-01-02,11.36,408.85
blade-thin-sliced,2025-01-02,107.86,2695.42
pork-belly-thin-cut,2025-01-02,85.24,1107.27
wagyu-flatiron-thin,2025-01-02,8.83,582.69
tomahawk-steak,2025-01-02,5.0,481.16
tenderloin-steak,2025-01-02,3.93,259.34
brisket-whole-trimmed,2025-01-02,19.43,368.98
eye-of-round-roast,2025-01-02,22.31,445.98
beef-stew-meat,2025-01-02,30.39,516.33
skirt-steak,2025-01-02,9.36,364.95
osso-buco,2025-01-02,6.39,114.96
ground-beef-medium,2025-01-02,138.77,1941.39
pork-chops-bnls,2025-01-02,47.36,709.93
pulled-pork-roast,2025-01-02,24.58,270.13
chuck-roast,2025-01-03,35.2,826.85
striploin-steak-bnls,2025-01-03,43.29,1861.04
ribeye-steak-bnls,2025-01-03,12.24,611.88
short-ribs-simmering,2025-01-03,71.72,3226.68
top-sirloin-steak-cr,2025-01-03,21.73,738.6
flank-steak,2025-01-03,12.62,454.19
blade-thin-sliced,2025-01-03,101.85,2545.23
pork-belly-thin-cut,2025-01-03,94.34,1225.48
wagyu-flatiron-thin,2025-01-03,9.25,610.41
tomahawk-steak,2025-01-03,6.0,577.39
tenderloin-steak,2025-01-03,3.73,246.14
brisket-whole-trimmed,2025-01-03,22.87,434.3
eye-of-round-roast,2025-01-03,21.08,421.39
beef-stew-meat,2025-01-03,24.98,424.41
skirt-steak,2025-01-03,8.03,313.09
osso-buco,2025-01-03,7.62,137.08
ground-beef-medium,2025-01-03,151.98,2126.2
pork-chops-bnls,2025-01-03,52.4,785.48
pulled-pork-roast,2025-01-03,20.02,220.02
chuck-roast,2025-01-04,44.12,1036.38
striploin-steak-bnls,2025-01-04,71.76,3084.96
ribeye-steak-bnls,2025-01-04,24.19,1209.26
short-ribs-simmering,2025-01-04,89.74,4037.4
top-sirloin-steak-cr,2025-01-04,36.79,1250.49
flank-steak,2025-01-04,22.75,818.77
blade-thin-sliced,2025-01-04,170.56,4262.29
pork-belly-thin-cut,2025-01-04,136.3,1770.54
wagyu-flatiron-thin,2025-01-04,17.68,1166.7
tomahawk-steak,2025-01-04,9.0,866.09
tenderloin-steak,2025-01-04,8.64,570.15
brisket-whole-trimmed,2025-01-04,31.23,593.06
eye-of-round-roast,2025-01-04,32.07,641.08
beef-stew-meat,2025-01-04,38.19,648.85
skirt-steak,2025-01-04,13.39,522.08
osso-buco,2025-01-04,12.78,229.91
ground-beef-medium,2025-01-04,184.1,2575.56
pork-chops-bnls,2025-01-04,73.81,1106.41
pulled-pork-roast,2025-01-04,38.55,423.66
chuck-roast,2025-01-05,58.22,1367.59
striploin-steak-bnls,2025-01-05,59.86,2573.38
ribeye-steak-bnls,2025-01-05,24.85,1242.25
short-ribs-simmering,2025-01-05,68.77,3093.96
top-sirloin-steak-cr,2025-01-05,38.27,1300.8
flank-steak,2025-01-05,22.57,812.29
blade-thin-sliced,2025-01-05,180.41,4508.45
pork-belly-thin-cut,2025-01-05,144.57,1877.96
wagyu-flatiron-thin,2025-01-05,17.52,1156.14
tomahawk-steak,2025-01-05,9.0,866.09
tenderloin-steak,2025-01-05,7.54,497.56
brisket-whole-trimmed,2025-01-05,34.33,651.93
eye-of-round-roast,2025-01-05,30.28,605.3
beef-stew-meat,2025-01-05,30.4,516.5
skirt-steak,2025-01-05,13.91,542.35
osso-buco,2025-01-05,11.9,214.08
ground-beef-medium,2025-01-05,206.68,2891.45
pork-chops-bnls,2025-01-05,81.04,1214.79
pulled-pork-roast,2025-01-05,43.26,475.43
chuck-roast,2025-01-06,33.65,790.44
striploin-steak-bnls,2025-01-06,45.11,1939.28
ribeye-steak-bnls,2025-01-06,14.31,715.36
short-ribs-simmering,2025-01-06,59.72,2686.8
top-sirloin-steak-cr,2025-01-06,23.37,794.35
flank-steak,2025-01-06,12.27,441.6
blade-thin-sliced,2025-01-06,101.71,2541.73
pork-belly-thin-cut,2025-01-06,84.57,1098.56
wagyu-flatiron-thin,2025-01-06,7.67,506.14
tomahawk-steak,2025-01-06,6.0,577.39
tenderloin-steak,2025-01-06,3.35,221.07
brisket-whole-trimmed,2025-01-06,17.73,336.69
eye-of-round-roast,2025-01-06,23.44,468.57
beef-stew-meat,2025-01-06,28.01,475.89
skirt-steak,2025-01-06,9.59,373.91
osso-buco,2025-01-06,7.0,125.93
ground-beef-medium,2025-01-06,126.23,1765.96
pork-chops-bnls,2025-01-06,52.61,788.62
pulled-pork-roast,2025-01-06,18.09,198.81
chuck-roast,2025-01-07,29.78,699.53
striploin-steak-bnls,2025-01-07,37.79,1624.59
ribeye-steak-bnls,2025-01-07,11.79,589.38
short-ribs-simmering,2025-01-07,65.0,2924.35
top-sirloin-steak-cr,2025-01-07,19.86,675.04
flank-steak,2025-01-07,12.69,456.71
blade-thin-sliced,2025-01-07,124.08,3100.76
pork-belly-thin-cut,2025-01-07,84.83,1101.94
wagyu-flatiron-thin,2025-01-07,9.67,638.12
tomahawk-steak,2025-01-07,5.0,481.16
tenderloin-steak,2025-01-07,3.45,227.67
brisket-whole-trimmed,2025-01-07,15.8,300.04
eye-of-round-roast,2025-01-07,21.25,424.79
beef-stew-meat,2025-01-07,29.36,498.83
skirt-steak,2025-01-07,7.2,280.73
osso-buco,2025-01-07,7.46,134.21
ground-beef-medium,2025-01-07,136.61,1911.17
pork-chops-bnls,2025-01-07,49.47,741.56
pulled-pork-roast,2025-01-07,18.62,204.63
chuck-roast,2025-01-08,35.72,839.06
striploin-steak-bnls,2025-01-08,41.55,1786.23
ribeye-steak-bnls,2025-01-08,13.65,682.36
short-ribs-simmering,2025-01-08,62.13,2795.23
top-sirloin-steak-cr,2025-01-08,26.8,910.93
flank-steak,2025-01-08,12.9,464.27
blade-thin-sliced,2025-01-08,93.99,2348.81
pork-belly-thin-cut,2025-01-08,90.44,1174.82
wagyu-flatiron-thin,2025-01-08,9.09,599.85
tomahawk-steak,2025-01-08,7.0,673.63
tenderloin-steak,2025-01-08,3.91,258.02
brisket-whole-trimmed,2025-01-08,18.48,350.94
eye-of-round-roast,2025-01-08,26.36,526.94
beef-stew-meat,2025-01-08,23.04,391.45
skirt-steak,2025-01-08,8.2,319.72
osso-buco,2025-01-08,6.34,114.06
ground-beef-medium,2025-01-08,126.74,1773.09
pork-chops-bnls,2025-01-08,45.05,675.3
pulled-pork-roast,2025-01-08,23.88,262.44
chuck-roast,2025-01-09,34.48,809.94
striploin-steak-bnls,2025-01-09,37.12,1595.79
ribeye-steak-bnls,2025-01-09,11.76,587.88
short-ribs-simmering,2025-01-09,64.33,2894.21
top-sirloin-steak-cr,2025-01-09,24.46,831.4
flank-steak,2025-01-09,16.86,606.79
blade-thin-sliced,2025-01-09,150.51,3761.24
pork-belly-thin-cut,2025-01-09,93.02,1208.33
wagyu-flatiron-thin,2025-01-09,7.86,518.68
tomahawk-steak,2025-01-09,5.0,481.16
tenderloin-steak,2025-01-09,3.66,241.52
brisket-whole-trimmed,2025-01-09,16.06,304.98
eye-of-round-roast,2025-01-09,21.06,420.99
beef-stew-meat,2025-01-09,24.68,419.31
skirt-steak,2025-01-09,8.7,339.21
osso-buco,2025-01-09,8.04,144.64
ground-beef-medium,2025-01-09,135.3,1892.85
pork-chops-bnls,2025-01-09,52.12,781.28
pulled-pork-roast,2025-01-09,19.55,214.85
chuck-roast,2025-01-10,28.98,680.74
striploin-steak-bnls,2025-01-10,41.76,1795.26
ribeye-steak-bnls,2025-01-10,13.19,659.37
short-ribs-simmering,2025-01-10,76.55,3443.98
top-sirloin-steak-cr,2025-01-10,22.48,764.1
