shift_date,role,available_minutes,headcount
2025-01-02,cutter,1020.0,2
2025-01-02,wrapper,510.0,1
2025-01-02,fishmonger,510.0,1
2025-01-02,counter,510.0,1
2025-01-02,mid_wrapper_counter,510.0,1
2025-01-02,closing,1020.0,2
2025-01-03,cutter,1020.0,2
2025-01-03,wrapper,510.0,1
2025-01-03,fishmonger,510.0,1
2025-01-03,counter,510.0,1
2025-01-03,mid_wrapper_counter,510.0,1
2025-01-03,closing,1020.0,2
2025-01-04,cutter,1020.0,2
2025-01-04,wrapper,510.0,1
2025-01-04,fishmonger,510.0,1
2025-01-04,counter,510.0,1
2025-01-04,mid_wrapper_counter,1020.0,2
2025-01-04,closing,1530.0,3
2025-01-05,cutter,1020.0,2
2025-01-05,wrapper,510.0,1
2025-01-05,fishmonger,510.0,1
2025-01-05,counter,510.0,1
2025-01-05,mid_wrapper_counter,1020.0,2
2025-01-05,closing,1530.0,3
2025-01-06,cutter,1020.0,2
2025-01-06,wrapper,510.0,1
2025-01-06,fishmonger,510.0,1
2025-01-06,counter,510.0,1
2025-01-06,mid_wrapper_counter,510.0,1
2025-01-06,closing,1020.0,2
2025-01-07,cutter,1020.0,2
2025-01-07,wrapper,510.0,1
2025-01-07,fishmonger,510.0,1
2025-01-07,counter,510.0,1
2025-01-07,mid_wrapper_counter,510.0,1
2025-01-07,closing,1020.0,2
2025-01-08,cutter,1020.0,2
2025-01-08,wrapper,510.0,1
2025-01-08,fishmonger,510.0,1
2025-01-08,counter,510.0,1
2025-01-08,mid_wrapper_counter,510.0,1
2025-01-08,closing,1020.0,2
2025-01-09,cutter,1020.0,2
2025-01-09,wrapper,510.0,1
2025-01-09,fishmonger,510.0,1
2025-01-09,counter,510.0,1
2025-01-09,mid_wrapper_counter,510.0,1
2025-01-09,closing,1020.0,2
2025-01-10,cutter,1020.0,2
2025-01-10,wrapper,510.0,1
2025-01-10,fishmonger,510.0,1
2025-01-10,counter,510.0,1
2025-01-10,mid_wrapper_counter,510.0,1
2025-01-10,closing,1020.0,2
2025-01-11,cutter,1020.0,2
2025-01-11,wrapper,510.0,1
2025-01-11,fishmonger,510.0,1
2025-01-11,counter,510.0,1
2025-01-11,mid_wrapper_counter,1020.0,2
2025-01-11,closing,1530.0,3
2025-01-12,cutter,1020.0,2
2025-01-12,wrapper,510.0,1
2025-01-12,fishmonger,510.0,1
2025-01-12,counter,510.0,1
2025-01-12,mid_wrapper_counter,1020.0,2
2025-01-12,closing,1530.0,3
2025-01-13,cutter,1020.0,2
2025-01-13,wrapper,510.0,1
2025-01-13,fishmonger,510.0,1
2025-01-13,counter,510.0,1
2025-01-13,mid_wrapper_counter,510.0,1
2025-01-13,closing,1020.0,2
2025-01-14,cutter,1020.0,2
2025-01-14,wrapper,510.0,1
2025-01-14,fishmonger,510.0,1
2025-01-14,counter,510.0,1
2025-01-14,mid_wrapper_counter,510.0,1
2025-01-14,closing,1020.0,2
2025-01-15,cutter,1020.0,2
2025-01-15,wrapper,510.0,1
2025-01-15,fishmonger,510.0,1
2025-01-15,counter,510.0,1
2025-01-15,mid_wrapper_counter,510.0,1
2025-01-15,closing,1020.0,2
2025-01-16,cutter,1020.0,2
2025-01-16,wrapper,510.0,1
2025-01-16,fishmonger,510.0,1
2025-01-16,counter,510.0,1
2025-01-16,mid_wrapper_counter,510.0,1
2025-01-16,closing,1020.0,2
2025-01-17,cutter,1020.0,2
2025-01-17,wrapper,510.0,1
2025-01-17,fishmonger,510.0,1
2025-01-17,counter,510.0,1
2025-01-17,mid_wrapper_counter,510.0,1
2025-01-17,closing,1020.0,2
2025-01-18,cutter,1020.0,2
2025-01-18,wrapper,510.0,1
2025-01-18,fishmonger,510.0,1
2025-01-18,counter,510.0,1
