source_primal,as_of,boxes_on_hand,velocity_tier
Tenderloin,2025-01-02,1.5,low
Shank,2025-01-02,5.5,low
Wagyu Flat Iron,2025-01-02,5.5,low
6X6 Frenched,2025-01-02,5.5,low
Plate,2025-01-02,5.5,low
Flank,2025-01-02,5.8,low
Bone-in Ribeye,2025-01-02,10.0,medium
Brisket,2025-01-02,10.0,medium
Pork Shoulder,2025-01-02,11.7,medium
Top Sirloin Butt,2025-01-02,10.0,medium
Round,2025-01-02,10.4,medium
Striploin Whole,2025-01-02,10.0,medium
Pork Loin,2025-01-02,23.6,best
Chuck Flat,2025-01-02,22.5,best
Pork Belly,2025-01-02,22.5,best
Chuck Primal,2025-01-02,22.7,best
Blade Eyes,2025-01-02,22.5,best
Tenderloin,2025-01-03,1.4,low
Shank,2025-01-03,4.7,low
Wagyu Flat Iron,2025-01-03,5.0,low
6X6 Frenched,2025-01-03,5.5,low
Plate,2025-01-03,4.9,low
Flank,2025-01-03,5.4,low
Bone-in Ribeye,2025-01-03,8.7,medium
Brisket,2025-01-03,9.0,medium
Pork Shoulder,2025-01-03,10.3,medium
Top Sirloin Butt,2025-01-03,11.0,medium
Round,2025-01-03,7.9,medium
Striploin Whole,2025-01-03,10.2,medium
Pork Loin,2025-01-03,21.7,best
Chuck Flat,2025-01-03,24.4,best
Pork Belly,2025-01-03,23.0,best
Chuck Primal,2025-01-03,22.1,best
Blade Eyes,2025-01-03,22.2,best
Tenderloin,2025-01-04,1.7,low
Shank,2025-01-04,3.5,low
Wagyu Flat Iron,2025-01-04,5.5,low
6X6 Frenched,2025-01-04,5.7,low
Plate,2025-01-04,5.0,low
Flank,2025-01-04,5.3,low
Bone-in Ribeye,2025-01-04,6.9,medium
Brisket,2025-01-04,7.5,medium
Pork Shoulder,2025-01-04,10.6,medium
Top Sirloin Butt,2025-01-04,11.4,medium
Round,2025-01-04,7.9,medium
Striploin Whole,2025-01-04,11.2,medium
Pork Loin,2025-01-04,20.7,best
Chuck Flat,2025-01-04,24.3,best
Pork Belly,2025-01-04,22.6,best
Chuck Primal,2025-01-04,21.8,best
Blade Eyes,2025-01-04,22.4,best
Tenderloin,2025-01-05,1.2,low
Shank,2025-01-05,1.9,low
Wagyu Flat Iron,2025-01-05,2.5,low
6X6 Frenched,2025-01-05,4.2,low
Plate,2025-01-05,1.9,low
Flank,2025-01-05,2.5,low
Bone-in Ribeye,2025-01-05,4.7,medium
Brisket,2025-01-05,5.7,medium
Pork Shoulder,2025-01-05,7.7,medium
Top Sirloin Butt,2025-01-05,8.7,medium
Round,2025-01-05,2.7,medium
Striploin Whole,2025-01-05,6.3,medium
Pork Loin,2025-01-05,12.1,best
Chuck Flat,2025-01-05,18.4,best
Pork Belly,2025-01-05,10.7,best
Chuck Primal,2025-01-05,9.6,best
Blade Eyes,2025-01-05,5.3,best
Tenderloin,2025-01-06,1.8,low
Shank,2025-01-06,5.9,low
Wagyu Flat Iron,2025-01-06,4.5,low
6X6 Frenched,2025-01-06,4.9,low
Plate,2025-01-06,4.3,low
Flank,2025-01-06,4.6,low
Bone-in Ribeye,2025-01-06,11.1,medium
Brisket,2025-01-06,8.7,medium
Pork Shoulder,2025-01-06,10.3,medium
Top Sirloin Butt,2025-01-06,8.2,medium
Round,2025-01-06,9.5,medium
Striploin Whole,2025-01-06,10.3,medium
Pork Loin,2025-01-06,22.5,best
Chuck Flat,2025-01-06,22.8,best
Pork Belly,2025-01-06,17.7,best
Chuck Primal,2025-01-06,17.9,best
Blade Eyes,2025-01-06,17.8,best
Tenderloin,2025-01-07,1.6,low
Shank,2025-01-07,5.7,low
Wagyu Flat Iron,2025-01-07,5.4,low
6X6 Frenched,2025-01-07,3.9,low
Plate,2025-01-07,4.7,low
Flank,2025-01-07,5.0,low
Bone-in Ribeye,2025-01-07,11.6,medium
Brisket,2025-01-07,11.5,medium
Pork Shoulder,2025-01-07,8.6,medium
Top Sirloin Butt,2025-01-07,10.1,medium
Round,2025-01-07,7.9,medium
Striploin Whole,2025-01-07,10.0,medium
Pork Loin,2025-01-07,21.7,best
Chuck Flat,2025-01-07,18.5,best
Pork Belly,2025-01-07,20.0,best
