schedule_date,source_primal,planned_primal_kg,status,priority,notes
2025-01-02,Flank,33.43,completed,low,today + next-day buffer
2025-01-02,6X6 Frenched,24.04,completed,low,today + next-day buffer
2025-01-02,Wagyu Flat Iron,21.48,completed,low,today + next-day buffer
2025-01-02,Pork Belly,198.13,completed,high,today + next-day buffer
2025-01-02,Tenderloin,9.26,completed,low,today + next-day buffer
2025-01-02,Chuck Primal,290.73,completed,high,today + next-day buffer
2025-01-02,Striploin Whole,114.31,completed,normal,today + next-day buffer
2025-01-02,Plate,25.47,completed,low,today + next-day buffer
2025-01-02,Pork Shoulder,49.53,completed,normal,today + next-day buffer
2025-01-02,Chuck Flat,152.22,completed,high,today + next-day buffer
2025-01-02,Round,116.4,completed,normal,today + next-day buffer
2025-01-02,Pork Loin,125.87,completed,high,today + next-day buffer
2025-01-02,Blade Eyes,335.79,completed,high,today + next-day buffer
2025-01-02,Bone-in Ribeye,39.92,completed,normal,today + next-day buffer
2025-01-02,Top Sirloin Butt,53.07,completed,normal,today + next-day buffer
2025-01-02,Shank,16.78,completed,low,today + next-day buffer
2025-01-02,Brisket,41.96,completed,normal,today + next-day buffer
2025-01-03,Flank,44.58,partial,low,today + next-day buffer
2025-01-03,6X6 Frenched,30.05,completed,low,today + next-day buffer
2025-01-03,Wagyu Flat Iron,30.08,completed,low,today + next-day buffer
2025-01-03,Pork Belly,247.66,partial,high,today + next-day buffer
2025-01-03,Tenderloin,15.05,completed,low,today + next-day buffer
2025-01-03,Chuck Primal,358.57,completed,high,today + next-day buffer
2025-01-03,Striploin Whole,142.88,completed,normal,today + next-day buffer
2025-01-03,Plate,35.66,completed,low,today + next-day buffer
2025-01-03,Pork Shoulder,69.35,completed,normal,today + next-day buffer
2025-01-03,Chuck Flat,179.4,completed,high,today + next-day buffer
2025-01-03,Round,137.45,completed,normal,today + next-day buffer
2025-01-03,Pork Loin,157.34,completed,high,today + next-day buffer
2025-01-03,Blade Eyes,425.29,completed,high,today + next-day buffer
2025-01-03,Bone-in Ribeye,53.23,partial,normal,today + next-day buffer
2025-01-03,Top Sirloin Butt,74.3,completed,normal,today + next-day buffer
2025-01-03,Shank,24.13,completed,low,today + next-day buffer
2025-01-03,Brisket,57.69,partial,normal,today + next-day buffer
2025-01-04,Flank,55.72,completed,low,today + next-day buffer
2025-01-04,6X6 Frenched,36.06,completed,low,today + next-day buffer
2025-01-04,Wagyu Flat Iron,38.67,completed,low,today + next-day buffer
2025-01-04,Pork Belly,297.19,completed,high,today + next-day buffer
2025-01-04,Tenderloin,20.84,partial,low,today + next-day buffer
2025-01-04,Chuck Primal,426.41,completed,high,today + next-day buffer
2025-01-04,Striploin Whole,171.46,completed,normal,today + next-day buffer
2025-01-04,Plate,45.85,completed,low,today + next-day buffer
2025-01-04,Pork Shoulder,89.16,completed,normal,today + next-day buffer
2025-01-04,Chuck Flat,206.59,completed,high,today + next-day buffer
2025-01-04,Round,158.5,partial,normal,today + next-day buffer
2025-01-04,Pork Loin,188.81,completed,high,today + next-day buffer
2025-01-04,Blade Eyes,514.78,completed,high,today + next-day buffer
2025-01-04,Bone-in Ribeye,66.54,completed,normal,today + next-day buffer
2025-01-04,Top Sirloin Butt,95.53,completed,normal,today + next-day buffer
2025-01-04,Shank,31.47,completed,low,today + next-day buffer
2025-01-04,Brisket,73.42,partial,normal,today + next-day buffer
2025-01-05,Flank,44.58,completed,low,today + next-day buffer
2025-01-05,6X6 Frenched,30.05,completed,low,today + next-day buffer
2025-01-05,Wagyu Flat Iron,30.08,completed,low,today + next-day buffer
2025-01-05,Pork Belly,247.66,completed,high,today + next-day buffer
2025-01-05,Tenderloin,15.05,completed,low,today + next-day buffer
2025-01-05,Chuck Primal,358.57,completed,high,today + next-day buffer
2025-01-05,Striploin Whole,142.88,completed,normal,today + next-day buffer
2025-01-05,Plate,35.66,completed,low,today + next-day buffer
2025-01-05,Pork Shoulder,69.35,partial,normal,today + next-day buffer
2025-01-05,Chuck Flat,179.4,completed,high,today + next-day buffer
2025-01-05,Round,137.45,completed,normal,today + next-day buffer
2025-01-05,Pork Loin,157.34,completed,high,today + next-day buffer
2025-01-05,Blade Eyes,425.29,completed,high,today + next-day buffer
2025-01-05,Bone-in Ribeye,53.23,completed,normal,today + next-day buffer
2025-01-05,Top Sirloin Butt,74.3,completed,normal,today + next-day buffer
2025-01-05,Shank,24.13,completed,low,today + next-day buffer
2025-01-05,Brisket,57.69,completed,normal,today + next-day buffer
2025-01-06,Flank,33.43,completed,low,today + next-day buffer
2025-01-06,6X6 Frenched,24.04,completed,low,today + next-day buffer
2025-01-06,Wagyu Flat Iron,21.48,completed,low,today + next-day buffer
2025-01-06,Pork Belly,198.13,completed,high,today + next-day buffer
2025-01-06,Tenderloin,9.26,completed,low,today + next-day buffer
2025-01-06,Chuck Primal,290.73,completed,high,today + next-day buffer
2025-01-06,Striploin Whole,114.31,completed,normal,today + next-day buffer
2025-01-06,Plate,25.47,completed,low,today + next-day buffer
2025-01-06,Pork Shoulder,49.53,completed,normal,today + next-day buffer
2025-01-06,Chuck Flat,152.22,completed,high,today + next-day buffer
2025-01-06,Round,116.4,completed,normal,today + next-day buffer
2025-01-06,Pork Loin,125.87,completed,high,today + next-day buffer
