po_id,source_primal,order_date,expected_arrival,quantity_kg,status,supplier,actual_arrival,received_kg,data_source
PO-20250104-00000,6X6 Frenched,2025-01-02,2025-01-04,5.0,delivered,Northlake Beef Co.,2025-01-04,5.0,synthetic
PO-20250106-00001,6X6 Frenched,2025-01-04,2025-01-06,17.5,delivered,Northlake Beef Co.,2025-01-06,17.5,synthetic
PO-20250111-00002,6X6 Frenched,2025-01-09,2025-01-11,105.0,delivered,Northlake Beef Co.,2025-01-11,105.0,synthetic
PO-20250116-00003,6X6 Frenched,2025-01-14,2025-01-16,100.0,delivered,Northlake Beef Co.,2025-01-16,100.0,synthetic
PO-20250117-00004,6X6 Frenched,2025-01-15,2025-01-17,10.0,delivered,Northlake Beef Co.,2025-01-17,10.0,synthetic
PO-20250118-00005,6X6 Frenched,2025-01-16,2025-01-18,2.5,delivered,Northlake Beef Co.,2025-01-18,2.5,synthetic
PO-20250120-00006,6X6 Frenched,2025-01-18,2025-01-20,25.0,delivered,Northlake Beef Co.,2025-01-20,25.0,synthetic
PO-20250121-00007,6X6 Frenched,2025-01-19,2025-01-21,25.0,delivered,Northlake Beef Co.,2025-01-21,25.0,synthetic
PO-20250122-00008,6X6 Frenched,2025-01-20,2025-01-22,5.0,delivered,Northlake Beef Co.,2025-01-22,5.0,synthetic
PO-20250124-00009,6X6 Frenched,2025-01-22,2025-01-24,2.5,delivered,Northlake Beef Co.,2025-01-24,2.5,synthetic
PO-20250127-00010,6X6 Frenched,2025-01-25,2025-01-27,32.5,delivered,Northlake Beef Co.,2025-01-27,32.5,synthetic
PO-20250129-00011,6X6 Frenched,2025-01-27,2025-01-29,17.5,delivered,Northlake Beef Co.,2025-01-29,17.5,synthetic
PO-20250131-00012,6X6 Frenched,2025-01-29,2025-01-31,15.0,delivered,Northlake Beef Co.,2025-01-31,15.0,synthetic
PO-20250201-00013,6X6 Frenched,2025-01-30,2025-02-01,2.5,delivered,Northlake Beef Co.,2025-02-01,2.5,synthetic
PO-20250203-00014,6X6 Frenched,2025-01-30,2025-02-01,27.5,delivered,Northlake Beef Co.,2025-02-03,27.5,synthetic
PO-20250206-00015,6X6 Frenched,2025-02-04,2025-02-06,17.5,delivered,Northlake Beef Co.,2025-02-06,17.5,synthetic
PO-20250208-00016,6X6 Frenched,2025-02-06,2025-02-08,15.0,delivered,Northlake Beef Co.,2025-02-08,15.0,synthetic
PO-20250210-00017,6X6 Frenched,2025-02-08,2025-02-10,20.0,delivered,Northlake Beef Co.,2025-02-10,20.0,synthetic
PO-20250211-00018,6X6 Frenched,2025-02-09,2025-02-11,15.0,delivered,Northlake Beef Co.,2025-02-11,15.0,synthetic
PO-20250218-00019,6X6 Frenched,2025-02-16,2025-02-18,120.0,delivered,Northlake Beef Co.,2025-02-18,120.0,synthetic
PO-20250219-00020,6X6 Frenched,2025-02-17,2025-02-19,20.0,delivered,Northlake Beef Co.,2025-02-19,20.0,synthetic
PO-20250222-00021,6X6 Frenched,2025-02-20,2025-02-22,15.0,delivered,Northlake Beef Co.,2025-02-22,15.0,synthetic
PO-20250224-00022,6X6 Frenched,2025-02-22,2025-02-24,40.0,delivered,Northlake Beef Co.,2025-02-24,40.0,synthetic
PO-20250227-00023,6X6 Frenched,2025-02-25,2025-02-27,5.0,delivered,Northlake Beef Co.,2025-02-27,5.0,synthetic
PO-20250228-00024,6X6 Frenched,2025-02-26,2025-02-28,5.0,delivered,Northlake Beef Co.,2025-02-28,5.0,synthetic
PO-20250301-00025,6X6 Frenched,2025-02-25,2025-02-27,7.5,delivered,Northlake Beef Co.,2025-03-01,7.5,synthetic
PO-20250303-00026,6X6 Frenched,2025-03-01,2025-03-03,25.0,delivered,Northlake Beef Co.,2025-03-03,25.0,synthetic
PO-20250305-00027,6X6 Frenched,2025-03-03,2025-03-05,2.5,delivered,Northlake Beef Co.,2025-03-05,2.5,synthetic
PO-20250307-00028,6X6 Frenched,2025-03-05,2025-03-07,10.0,delivered,Northlake Beef Co.,2025-03-07,10.0,synthetic
PO-20250310-00029,6X6 Frenched,2025-03-08,2025-03-10,27.5,delivered,Northlake Beef Co.,2025-03-10,27.5,synthetic
PO-20250312-00030,6X6 Frenched,2025-03-10,2025-03-12,17.5,delivered,Northlake Beef Co.,2025-03-12,17.5,synthetic
PO-20250315-00031,6X6 Frenched,2025-03-13,2025-03-15,10.0,delivered,Northlake Beef Co.,2025-03-15,10.0,synthetic
PO-20250317-00032,6X6 Frenched,2025-03-15,2025-03-17,32.5,delivered,Northlake Beef Co.,2025-03-17,32.5,synthetic
PO-20250321-00033,6X6 Frenched,2025-03-19,2025-03-21,5.0,delivered,Northlake Beef Co.,2025-03-21,5.0,synthetic
PO-20250324-00034,6X6 Frenched,2025-03-22,2025-03-24,25.0,delivered,Northlake Beef Co.,2025-03-24,25.0,synthetic
PO-20250325-00035,6X6 Frenched,2025-03-23,2025-03-25,7.5,delivered,Northlake Beef Co.,2025-03-25,7.5,synthetic
PO-20250327-00036,6X6 Frenched,2025-03-25,2025-03-27,15.0,delivered,Northlake Beef Co.,2025-03-27,15.0,synthetic
PO-20250402-00037,6X6 Frenched,2025-03-31,2025-04-02,117.5,delivered,Northlake Beef Co.,2025-04-02,117.5,synthetic
PO-20250407-00038,6X6 Frenched,2025-04-05,2025-04-07,37.5,delivered,Northlake Beef Co.,2025-04-07,37.5,synthetic
PO-20250408-00039,6X6 Frenched,2025-04-06,2025-04-08,13.81,short_shipped,Northlake Beef Co.,2025-04-08,10.0,synthetic
PO-20250410-00040,6X6 Frenched,2025-04-08,2025-04-10,5.0,delivered,Northlake Beef Co.,2025-04-10,5.0,synthetic
PO-20250412-00041,6X6 Frenched,2025-04-08,2025-04-10,6.69,short_shipped,Northlake Beef Co.,2025-04-12,5.0,synthetic
PO-20250414-00042,6X6 Frenched,2025-04-12,2025-04-14,45.0,delivered,Northlake Beef Co.,2025-04-14,45.0,synthetic
PO-20250417-00043,6X6 Frenched,2025-04-15,2025-04-17,12.5,delivered,Northlake Beef Co.,2025-04-17,12.5,synthetic
PO-20250419-00044,6X6 Frenched,2025-04-17,2025-04-19,5.0,delivered,Northlake Beef Co.,2025-04-19,5.0,synthetic
PO-20250421-00045,6X6 Frenched,2025-04-19,2025-04-21,40.0,delivered,Northlake Beef Co.,2025-04-21,40.0,synthetic
PO-20250422-00046,6X6 Frenched,2025-04-20,2025-04-22,15.0,delivered,Northlake Beef Co.,2025-04-22,15.0,synthetic
